Tên xe,Tên hãng xe,Năm sản xuất,Nơi bán,Giá,Link sản phẩm
Peugeot 5008 GT 1.6 AT - 2022,Peugeot,2022,999,Hà Nội,https://bonbanh.com/xe-peugeot-5008-gt-1.6-at-2022-5568690
Toyota Land Cruiser 3.5 V6 - 2024,Toyota,2024,4286,Hà Nội,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-4830310
Toyota Camry 2.5Q - 2024,Toyota,2024,1375,Hà Nội,https://bonbanh.com/xe-toyota-camry-2.5q-2024-5461309
Ford Everest Titanium 2.0L 4x2 AT - 2024,Ford,2024,1205,Hà Nội,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2024-5014051
Toyota Yaris 1.3 AT - 2009,Toyota,2009,250,Hà Nội,https://bonbanh.com/xe-toyota-yaris-1.3-at-2009-5584252
Kia Soluto 1.4 AT Deluxe - 2020,Kia,2020,365,Hà Nội,https://bonbanh.com/xe-kia-soluto-1.4-at-deluxe-2020-5574726
Ford Escape XLS 2.3L 4x2 AT - 2011,Ford,2011,230,Hà Nội,https://bonbanh.com/xe-ford-escape-xls-2.3l-4x2-at-2011-5564263
Toyota Corolla Cross 1.8V - 2023,Toyota,2023,835,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2023-5594234
Porsche Macan 2.0 - 2020,Porsche,2020,2738,TP HCM,https://bonbanh.com/xe-porsche-macan-2.0-2020-5593295
Toyota Fortuner 2.7V 4X2 AT - 2016,Toyota,2016,485,Hà Nội,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2016-5586169
Toyota Fortuner 2.4G 4x2 MT - 2019,Toyota,2019,815,TP HCM,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2019-5592358
Toyota Camry 2.4G - 2012,Toyota,2012,410,TP HCM,https://bonbanh.com/xe-toyota-camry-2.4g-2012-5573220
Mitsubishi Grandis 2.4 AT - 2009,Mitsubishi,2009,295,TP HCM,https://bonbanh.com/xe-mitsubishi-grandis-2.4-at-2009-5429676
Mazda CX5 2.5 AT 2WD - 2019,Mazda,2019,710,Hà Nội,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2019-5536866
Chevrolet Cruze LTZ 1.8L - 2017,Chevrolet,2017,330,TP HCM,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8l-2017-5268057
Toyota Camry 2.4G - 2011,Toyota,2011,395,TP HCM,https://bonbanh.com/xe-toyota-camry-2.4g-2011-5544908
Hyundai Elantra 1.6 MT - 2019,Hyundai,2019,400,Hà Nội,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2019-5568589
BMW X7 xDrive40i M Sport - 2019,BMW,2019,3450,TP HCM,https://bonbanh.com/xe-bmw-x7-xdrive40i-m-sport-2019-5575570
Volkswagen Teramont X Luxury 2.0 AT - 2024,Volkswagen,2024,1998,Hà Nội,https://bonbanh.com/xe-volkswagen-teramont-x-luxury-2.0-at-2024-5515678
Lexus LX 570 Super Sport - 2021,Lexus,2021,8680,Hà Nội,https://bonbanh.com/xe-lexus-lx-570-super-sport-2021-5513767
Kia Morning Van 1.0 AT - 2016,Kia,2016,226,Hà Nội,https://bonbanh.com/xe-kia-morning-van-1.0-at-2016-5584275
Toyota Innova 2.0 Venturer - 2019,Toyota,2019,655,Hà Nội,https://bonbanh.com/xe-toyota-innova-2.0-venturer-2019-5553848
Toyota Corolla Cross 1.8G - 2022,Toyota,2022,739,Hà Nội,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2022-5511845
Toyota Vios E CVT - 2024,Toyota,2024,465,Hà Nội,https://bonbanh.com/xe-toyota-vios-e-cvt-2024-5445975
Lexus RX 300 - 2021,Lexus,2021,2929,Hà Nội,https://bonbanh.com/xe-lexus-rx-300-2021-5382735
Mercedes Benz GLC 200 4Matic - 2023,Mercedes,2023,2270,Hà Nội,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2023-5324093
Honda BR V G - 2024,Honda,2024,625,Hà Nội,https://bonbanh.com/xe-honda-br_v-g-2024-5276460
Toyota Fortuner Legender 2.4L 4x2 AT - 2022,Toyota,2022,1140,TP HCM,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2022-5592336
Mitsubishi Xpander Premium 1.5 AT - 2022,Mitsubishi,2022,609,TP HCM,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2022-5594237
Jeep Wrangler - 1990,Jeep,1990,550,TP HCM,https://bonbanh.com/xe-jeep-wrangler--1990-5193889
Hyundai Elantra 2.0 AT Cao cấp - 2024,Hyundai,2024,706,Hà Nội,https://bonbanh.com/xe-hyundai-elantra-2.0-at-cao-cap-2024-5002573
Mitsubishi Outlander Premium 2.0 CVT - 2023,Mitsubishi,2023,950,Hà Nội,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2023-4427713
Toyota Innova 2.0E - 2019,Toyota,2019,525,TP HCM,https://bonbanh.com/xe-toyota-innova-2.0e-2019-5562593
Mercedes Benz E class E250 - 2014,Mercedes,2014,660,Hà Nội,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2014-5552504
