Tên hãng xe,Năm sản xuất,Tỉnh,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Audi,2020,TP HCM,30000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,2950.0
Audi,2014,Hà Nội,94000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,FWD,Xăng,2.0,560.0
Audi,2016,TP HCM,50000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,690.0
Audi,2016,Hà Nội,76000.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,699.0
Audi,2016,Hà Nội,90000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,739.0
Audi,2014,Hà Nội,100000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.0,890.0
Audi,2014,Hà Nội,130000.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,5,5,AWD,Xăng,2.0,639.0
Audi,2007,Hà Nội,13000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nhiều màu,5,4,AWD,Xăng,4.2,395.0
Audi,2014,Hà Nội,75000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,AWD,Xăng,4.0,1680.0
Audi,2008,TP HCM,88600.0,Nhập khẩu,SUV,Số tự động,Xám,Kem,7,5,AWD,Xăng,3.6,340.0
Audi,2015,Hà Nội,90000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,830.0
Audi,2014,Hà Nội,80000.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,7,5,AWD,Xăng,3.0,720.0
Audi,2021,TP HCM,20000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,3.0,3566.0
Audi,2013,Hà Nội,13000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,590.0
Audi,2016,Hà Nội,80000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,1299.0
Audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,2080.0
