Tên hãng xe,Năm sản xuất,Tỉnh,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
audi,2020,TP HCM,30.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,2950.0
audi,2014,Hà Nội,94.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,FWD,Xăng,2.0,560.0
audi,2016,TP HCM,50.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,690.0
audi,2016,Hà Nội,76.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,699.0
audi,2016,Hà Nội,90.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,739.0
audi,2014,Hà Nội,100.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.0,890.0
audi,2014,Hà Nội,130.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,5,5,AWD,Xăng,2.0,639.0
audi,2007,Hà Nội,13.0,Nhập khẩu,Sedan,Số tự động,Đen,Nhiều màu,5,4,AWD,Xăng,4.2,395.0
audi,2014,Hà Nội,75.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,AWD,Xăng,4.0,1680.0
audi,2008,TP HCM,88.6,Nhập khẩu,SUV,Số tự động,Xám,Kem,7,5,AWD,Xăng,3.6,340.0
audi,2015,Hà Nội,90.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,830.0
audi,2014,Hà Nội,80.0,Nhập khẩu,SUV,Số tự động,Nâu,Nâu,7,5,AWD,Xăng,3.0,720.0
audi,2021,TP HCM,20.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,3.0,3566.0
audi,2013,Hà Nội,13.0,Nhập khẩu,Crossover,Số tự động,Trắng,Kem,5,5,AWD,Xăng,2.0,590.0
audi,2016,Hà Nội,80.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,1299.0
audi,2023,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,2080.0
audi,2021,Hà Nội,20.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1430.0
audi,2022,Hà Nội,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Màu khác,5,5,FWD,Xăng,1.4,1400.0
audi,2009,Hà Nội,130.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,3.2,455.0
audi,2021,Hà Nội,27.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,2060.0
audi,2021,Hà Nội,27.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,2050.0
audi,2013,Hà Nội,100.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,AWD,Xăng,2.0,580.0
audi,2016,Hà Nội,83.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,655.0
audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,FWD,Xăng,2.0,2084.0
audi,2014,Hà Nội,64.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.0,630.0
audi,2021,Hà Nội,26.686,Nhập khẩu,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.4,1425.0
audi,2021,TP HCM,27.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,5,5,AWD,Xăng,2.0,2050.0
audi,2014,TP HCM,70.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,AWD,Xăng,3.0,1098.0
audi,2016,Hà Nội,68.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,840.0
audi,2016,TP HCM,98.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,2.0,1349.0
audi,2014,Nam Định,84.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,1.8,425.0
audi,2022,TP HCM,0.0,Nhập khẩu,Sedan,Số tự động,Xám,Đen,5,4,FWD,Xăng,2.0,1930.0
