Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Mercedes Benz,2020,Phú Thọ,Cũ,33000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,RFD,Xăng,3.0,2780.0
Ford,2010,Tiền Giang,Cũ,120000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.3,265.0
Mercedes Benz,2018,TP HCM,Cũ,70000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,RFD,Xăng,2.0,950.0
Honda,2019,Vĩnh Phúc,Cũ,75000.0,Lắp ráp trong nước,Sedan,Số tự động,Nâu,Đen,5,4,FWD,Xăng,1.5,435.0
Hyundai,2020,Hà Nội,Cũ,34000.0,Lắp ráp trong nước,Crossover,Số tự động,Cát,Kem,5,5,FWD,Xăng,2.0,750.0
Ford,2024,Ninh Thuận,Mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Ghi,16,4,RFD,Dầu,2.2,784.0
Porsche,2022,Hà Nội,Cũ,8000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Trắng,Đỏ,2,2,RFD,Xăng,2.0,4480.0
Hyundai,2019,Đà Nẵng,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.0,450.0
Porsche,2020,TP HCM,Cũ,39000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,4,4,RFD,Xăng,2.9,4999.0
Mini,2017,TP HCM,Cũ,46000.0,Nhập khẩu,Coupe,Số tự động,Đỏ,Kem,4,3,FWD,Xăng,1.5,979.0
Ford,2022,TP HCM,Cũ,36000.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7,5,RFD,Dầu,2.0,1179.0
Kia,2020,Bình Dương,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5,4,FWD,Xăng,2.0,525.0
Mercedes Benz,2017,Hà Nội,Cũ,70000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,AWD,Xăng,3.0,3650.0
Toyota,2016,Hà Nội,Cũ,62000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,RFD,Xăng,2.7,578.0
Toyota,2022,TP HCM,Cũ,55000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Đen,7,5,RFD,Dầu,2.4,1010.0
Toyota,2019,TP HCM,Cũ,132812.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Nâu,8,5,RFD,Xăng,2.0,530.0
Kia,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nâu,7,5,FWD,Dầu,2.2,1359.0
Hyundai,2008,Gia Lai,Cũ,219000.0,Nhập khẩu,Hatchback,Số tay,Đỏ,Nâu,5,5,FWD,Xăng,1.1,118.0
Ford,2022,TP HCM,Cũ,13000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,RFD,Dầu,2.0,1245.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Nâu,7,5,FWD,Xăng,2.4,4370.0
Honda,2020,TP HCM,Cũ,35000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.8,590.0
Isuzu,2017,Tiền Giang,Cũ,84000.0,Nhập khẩu,SUV,Số tay,Bạc,Nhiều màu,7,5,RFD,Dầu,2.5,495.0
Hyundai,2018,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Kem,5,4,FWD,Xăng,1.25,230.0
