,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
6233,VinFast,Fadil 1.4 AT,2019.0,299000000.0,Hà Nội,Xe đã dùng,52000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
23890,Mazda,2 1.5 AT,2024.0,420000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
28964,Kia,Carens SXMT,2013.0,265000000.0,Khánh Hòa,Xe đã dùng,64379.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
17815,Toyota,Camry 2.4G,2003.0,220000000.0,Hà Nội,Xe đã dùng,130000.0,Nhập khẩu,Sedan,Số tay,Ghi,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.4
1182,Ford,Explorer Limited 2.3L EcoBoost,2021.0,1775000000.0,TP HCM,Xe đã dùng,41000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.3
7106,Mercedes,Benz GLC 200 4Matic,2021.0,1620000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
7816,Mercedes,Benz E class E200 Exclusive,2022.0,2540000000.0,Nghệ An,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
23801,Mazda,CX5 Luxury 2.0 AT,2024.0,789000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
29340,Kia,Sedona 3.3 GAT Premium,2021.0,895000000.0,Hà Nội,Xe đã dùng,34000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nhiều màu,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,3.3
3559,Ford,Everest Titanium 2.0L 4x2 AT,2018.0,799000000.0,Hà Nội,Xe đã dùng,50000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
30061,Kia,Seltos 1.5 AT,2024.0,599000000.0,Hải Phòng,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Cam,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
11341,Hyundai,i10 1.2 AT,2022.0,395000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
14454,Honda,Civic RS 1.5 AT,2023.0,875000000.0,Thái Nguyên,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
13396,Hyundai,i10 Grand 1.2 MT,2019.0,280000000.0,Quảng Ninh,Xe đã dùng,150000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,-,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.25
2357,Ford,Ranger XLS 2.0L 4x2 AT,2022.0,650000000.0,Hà Nội,Xe đã dùng,30000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Ghi,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.0
18666,Toyota,Vios 1.5G,2018.0,430000000.0,Hà Nội,Xe đã dùng,56000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
15277,Toyota,Avanza Premio 1.5 AT,2023.0,588000000.0,Nam Định,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Xăng,1.5
18939,Toyota,Corolla altis 1.8G MT,2005.0,168000000.0,TP HCM,Xe đã dùng,225868.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Cát,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
3925,Mitsubishi,Xpander 1.5 MT,2019.0,425000000.0,Bình Dương,Xe đã dùng,95000.0,Nhập khẩu,SUV,Số tay,Nâu,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
29957,Kia,Morning Luxury,2022.0,348000000.0,Hà Nội,Xe đã dùng,26000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
28739,Kia,Sportage Signature X-Line 2.0G,2024.0,919000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Nâu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
