,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
17024,Mercedes Benz,2014,Hà Nội,Cũ,89000.0,Lắp ráp trong nước,SUV,Số tự động,Đồng,Kem,5,5,AWD,Xăng,2.0,668.0
9611,Kia,2008,Hải Dương,Cũ,140000.0,Nhập khẩu,Hatchback,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.0,142.0
5458,Hyundai,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,548.0
8853,Kia,2016,Hà Nội,Cũ,83000.0,Nhập khẩu,Van/Minivan,Số tự động,Ghi,Ghi,2,5,FWD,Xăng,1.0,226.0
24797,Toyota,2021,Khánh Hòa,Cũ,28300.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,RFD,Dầu,2.4,975.0
5021,Honda,2022,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,535.0
17131,MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,510.0
10139,Kia,2022,TP HCM,Cũ,23000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Đỏ,7,5,FWD,Dầu,2.2,1325.0
16441,Mercedes Benz,2022,TP HCM,Cũ,9500.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,7,5,AWD,Xăng,3.0,4639.0
21654,Toyota,2007,TP HCM,Cũ,125000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.4,309.0
8038,Hyundai,2022,TP HCM,Cũ,6500000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nhiều màu,5,4,FWD,Xăng,1.4,459.0
24374,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,3.4,5199.0
6322,Hyundai,2021,Hà Nội,Cũ,39000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7,5,AWD,Dầu,2.2,968.0
13599,Mazda,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,5,5,FWD,Xăng,2.0,869.0
5528,Hyundai,2019,Hà Nội,Cũ,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5,4,FWD,Xăng,1.4,415.0
9549,Kia,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Xanh,Đồng,5,5,AWD,Xăng,1.6,1014.0
3245,Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Xám,Đen,5,4,4WD,Dầu,2.0,910.0
6117,Hyundai,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,637.0
6842,Hyundai,2015,Hà Nội,Cũ,120000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Nhiều màu,5,5,FWD,Xăng,1.0,279.0
4674,Honda,2019,Hà Nội,Cũ,45000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,830.0
20214,Toyota,2016,Hà Nội,Cũ,63000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,415.0
